id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19076162,Chic Studio Suite with Awesome Pool and Garden,48325952,Coral,,Ward 71,-34.0393,18.42698,Private room,678,1,77,2020-03-22,2.17,3,200
19088665,Camps Bay Apartment - Panoramic Views,113777427,Maryke,,Ward 54,-33.96593,18.38125,Entire home/apt,1501,2,143,2020-03-20,4.31,3,289
19089559,Avocet Cape Town Villa - Rooms - B&B - Self Cater,79694,Harriet,,Ward 113,-33.83305,18.49519,Private room,610,1,1,2018-04-09,0.04,8,365
19091062,Peak Road Place Double,73180212,Sue,,Ward 64,-34.13883,18.42021,Entire home/apt,593,2,5,2020-02-02,0.14,2,363
19091474,SOUGHT-AFTER SECURE TOWNHOUSE COMPLEX IN FRESNAYE,54473709,Lara,,Ward 54,-33.92256,18.38908,Entire home/apt,8497,6,0,,,1,358
19093202,Spacious place to stay in Cape Town,133359402,Danielle,,Ward 107,-33.81216,18.49776,Private room,296,2,29,2020-03-16,0.99,1,176
19093535,5 star Luxury Apartment 810 Cape Royale,75954416,Henk & Nadia,,Ward 115,-33.90802,18.41298,Private room,1169,1,11,2019-06-23,0.34,2,325
19094088,"Home away from home,Cape Town",133367851,Olivier,,Ward 73,-34.02989,18.47362,Entire home/apt,418,1,20,2019-07-25,0.56,1,300
19106741,"The Cabin Room, Simon's Town",28383060,Therese Vlug,,Ward 61,-34.19396,18.42995,Private room,493,1,33,2019-12-30,0.94,6,0
19107403,Garden Apartment with sea views,43569683,Laurence,,Ward 54,-33.91454,18.39668,Entire home/apt,1797,7,0,,,4,365
19108094,"Cute, Practical & Central Apartment in Green Point",51293298,Joey,,Ward 115,-33.91046,18.41002,Entire home/apt,628,2,9,2020-02-22,0.26,7,205
